Column1;_1;Plan Operativo Anual 2022;_2;_3;_4;Plan Estratégico de Desarrollo Institucional;_5;_6;_7;_8;_9;_10;_11;_12;_13;_14;_15;_16;_17;_18;_19;_20;_21;_22
;ID_Accion;URY;Responsable;Cobertura_PEDI;Cobertura_PM2019;Docencia de pre y postgrado;;;;;Investigación;;;;;Vinculación con el Medio;;;Gestión de la Calidad;;Gestión Institucional;;;
;;;;;;OE 1;OE 2;OE 3;OE 4;OE 5;OE 6;OE 7;OE 8;OE 9;OE 10;OE 11;OE 12;OE 13;OE 14;OE 15;OE 16;OE 17;OE 18;OE 19
;;;;27;;;;;;;;;;;;;;;;;;;;
1;PMI-1;;DVCM;1;;;;;;;;;;;;;;;;;;;;1
2;PMI-10;;DAF;1;;;;;;;;;;;;;;;;;;;1;
3;PMI-11;;DAF;1;;;;;;;;;;;;;;;;;;;1;
4;PMI-12;;DAF;2;;;;;;;;;;;;;;;;;1;;1;
5;PMI-13;;DAF;1;;;;;;;;;;;;;;;;;1;;;
6;PMI-14;;DAF;1;;;;;;;;;;;;;;;;;1;;;
7;PMI-15;;DAF;1;;;;;;;;;;;;;;;;;1;;;
8;PMI-16;;DPAC;1;;;;;;;;;;;;;;;1;;;;;
9;PMI-17;;DPAC;2;;;;;;;;;;;;;;;1;1;;;;
10;PMI-18;;DPAC;2;;;;;;;;;;;;;;;1;1;;;;
11;PMI-19;;DPAC;1;;;;;;;;;;;;;;;1;;;;;
12;PMI-2;;REC;1;;;;;;;;;;;;;;;;;;;;1
13;PMI-20;;DPAC;1;;;;;;;;;;;;;;;1;;;;;
14;PMI-21;;DAC;1;;1;;;;;;;;;;;;;;;;;;
15;PMI-22;;DAC;1;;1;;;;;;;;;;;;;;;;;;
16;PMI-23;;DAC;2;;;1;1;;;;;;;;;;;;;;;;
17;PMI-24;;DAC;2;;;1;1;;;;;;;;;;;;;;;;
18;PMI-25;;DAC;2;;;1;1;;;;;;;;;;;;;;;;
19;PMI-26;;DAC;1;;;;1;;;;;;;;;;;;;;;;
20;PMI-27;;DAC;1;;;;;1;;;;;;;;;;;;;;;
21;PMI-28;;DAC;1;;;;;1;;;;;;;;;;;;;;;
22;PMI-29;;DAC;1;;1;;;;;;;;;;;;;;;;;;
23;PMI-3;;DPAC;1;;;;;;;;;;;;;;;;;1;;;
24;PMI-30;;DAC;1;;1;;;;;;;;;;;;;;;;;;
25;PMI-31;;DAC;2;;;;1;;;1;;;;;;;;;;;;;
26;PMI-32;;DAC;2;;;;1;;;1;;;;;;;;;;;;;
27;PMI-33;;DAC;2;;;;;;;;;;1;1;;;;;;;;;
28;PMI-4;;DPAC;2;;;;;;;;;;;;;;;;;1;1;;
29;PMI-5;;DAF;1;;;;;;;;;;;;;;;;;;1;;
30;PMI-6;;DAF;1;;;;;;;;;;;;;;;;;;1;;
31;PMI-7;;DAF;2;;;;;;;;;;;;;;;;;1;1;;
32;PMI-8;;DAF;1;;;;;;;;;;;;;;;;;;1;;
33;PMI-9;;DAF;1;;;;;;;;;;;;;;;;;;1;;
34;TRANSVERSAL-1;;DPAC;5;;1;;;;1;1;1;;;;;;;;;1;;;
35;TRANSVERSAL-2;;DAC;1;;;1;;;;;;;;;;;;;;;;;
36;TRANSVERSAL-3;;DAC;1;;;;;;1;;;;;;;;;;;;;;
37;TRANSVERSAL-4;;DVCM;1;;;;;1;;;;;;;;;;;;;;;
38;TRANSVERSAL-5;;DVCM;1;;;;;;;;;;;;;;1;;;;;;
39;TRANSVERSAL-6;;REC;1;;;;;1;;;;;;;;;;;;;;;
40;TRANSVERSAL-7;;REC;1;;;;;;;;;;;;;;;1;;;;;
41;URY-1999;;DPAC;4;;1;;1;1;;;;;;;;;;;;;1;;
42;URY-20102;;DI;1;;;;;1;;;;;;;;;;;;;;;
43;URY-2093;;DI;1;;;;;;;;;;;;;1;;;;;;;
44;URY-2095;;DVCM;2;;;1;;;;;;;;;;;1;;;;;;
45;URY-20991;;DPAC;3;;;;;;;1;;;;;1;;;;;;;1;
46;URY-20992;;DAC;12;;1;1;1;;1;1;;1;;;;1;1;1;1;;1;1;
47;URY-20993;;DVCM;1;;;;;;;;;;;;;;1;;;;;;
48;URY-2193;;DVCM;2;;;;;;;;;;;;1;;1;;;;;;
49;URY-2195;;DI;3;;;;;;;1;1;;;;;;;;;;;1;
50;URY-21991;;DI;2;;;1;;;;;;;1;;;;;;;;;;
51;URY-21992;;DPAC;7;;;;1;;;;;;;;;;1;1;1;1;1;1;
52;URY-2277;;DAC;1;;;;;;;;;;;;1;;;;;;;;
53;URY-2295;;DAC;4;;;1;1;;;;;;;;1;1;;;;;;;
54;URY-RED20992;;DAC;11;;1;1;1;1;;1;1;;;;;;1;1;;;1;1;1
55;URY-RED20993;;DPAC;4;;;;;1;;1;;;;;;;;;;;1;1;
56;URY-RED21991;;DVCM;1;;;;;;;;;;;;;;1;;;;;;
57;URY-RED21993;;DCS;1;;;;;1;;;;;;;;;;;;;;;
58;URY-RED21996;;REC;2;;;;;;;;;;;;;;1;1;;;;;
59;URY-RED22991;;DAC;11;;1;1;1;1;;1;1;;;;;;1;1;;;1;1;1
60;URY-RED22992;;DVCM;1;;;;;;;;;;;;;;1;;;;;;
61;URY-RED22995;;DVCM;1;;;;;;;;;;;;;;1;;;;;;
62;URY-2293;;DVCM;3;;;;;;;;;;;;1;1;1;;;;;;
63;URY-22991;;DPAC;5;;;1;1;1;;;;;;;1;1;;;;;;;
64;URY-2377;;DAC;1;;;;;;;;;;;;1;;;;;;;;
